"ID","Tramite","Campaña","Numero_semanas_por_campaña","EMedia_Tramites_por_semana","EBaja_Tramites_por_semana","EAlta_Tramites_por_semana","EMedia_Tramites_por_campaña","EBaja_Tramites_por_campaña","EAlta_Tramites_por_campaña"
"CHIAPAS-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,230,131.5,480.5,2990,1709.5,6246.5
"CHIAPAS-DTO-5","ENTREGA_CPV","CAP_2021",13,330,275.5,716.5,4290,3581.5,9314.5
"CHIAPAS-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,724,272,1357,9412,3536,17641
"CHIAPAS-DTO-6","ENTREGA_CPV","CAP_2021",13,308,207,485.5,4004,2691,6311.5
"CHIAPAS-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,339,298.5,1034.5,4407,3880.5,13448.5
"CHIAPAS-DTO-7","ENTREGA_CPV","CAP_2021",13,259,163,319,3367,2119,4147
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,336,256.5,844.5,4368,3334.5,10978.5
"CHIAPAS-DTO-8","ENTREGA_CPV","CAP_2021",13,246,164.5,359.5,3198,2138.5,4673.5
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAP_2021",13,283,247.5,1271.5,3679,3217.5,16529.5
"CHIAPAS-DTO-9","ENTREGA_CPV","CAP_2021",13,532,292.5,756.5,6916,3802.5,9834.5
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAP_2021",13,628,464.5,1182,8164,6038.5,15366
"CHIHUAHUA-DTO-1","ENTREGA_CPV","CAP_2021",13,286,221.5,563,3718,2879.5,7319
"CHIHUAHUA-DTO-1","TOTAL_SOLICITUDES","CAP_2021",13,584,276.5,823,7592,3594.5,10699
"CHIHUAHUA-DTO-2","ENTREGA_CPV","CAP_2021",13,391,227.5,856.5,5083,2957.5,11134.5
"CHIHUAHUA-DTO-2","TOTAL_SOLICITUDES","CAP_2021",13,1120,237,1615,14560,3081,20995
"CHIHUAHUA-DTO-3","ENTREGA_CPV","CAP_2021",13,543,431.5,826,7059,5609.5,10738
"CHIHUAHUA-DTO-3","TOTAL_SOLICITUDES","CAP_2021",13,1002,352.5,1214,13026,4582.5,15782
"CHIHUAHUA-DTO-4","ENTREGA_CPV","CAP_2021",13,417,341,712.5,5421,4433,9262.5
"CHIHUAHUA-DTO-4","TOTAL_SOLICITUDES","CAP_2021",13,836,318,1144.5,10868,4134,14878.5
"CHIHUAHUA-DTO-5","ENTREGA_CPV","CAP_2021",13,192,160,342,2496,2080,4446
"CHIHUAHUA-DTO-5","TOTAL_SOLICITUDES","CAP_2021",13,331,179.5,846,4303,2333.5,10998
"CHIHUAHUA-DTO-6","ENTREGA_CPV","CAP_2021",13,593,496,941,7709,6448,12233
"CHIHUAHUA-DTO-6","TOTAL_SOLICITUDES","CAP_2021",13,1127,509.5,1457.5,14651,6623.5,18947.5
"CHIHUAHUA-DTO-7","ENTREGA_CPV","CAP_2021",13,132,93,345,1716,1209,4485
"CHIHUAHUA-DTO-7","TOTAL_SOLICITUDES","CAP_2021",13,372,128.5,1107.5,4836,1670.5,14397.5
"CHIHUAHUA-DTO-8","ENTREGA_CPV","CAP_2021",13,563,327,843.5,7319,4251,10965.5
"CHIHUAHUA-DTO-8","TOTAL_SOLICITUDES","CAP_2021",13,1071,320,1287.5,13923,4160,16737.5
