"ID","Tramite","Campaña","Total_tramites_por_campaña","Numero_semanas_por_campaña","Promedio_tramites_por_semana","Mediana","Desviacion_Estandar","Rango_Intercuantil","Q1","Q3"
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","CAI_2019",13521,14,965.79,965,132.25,202.75,856.75,1059.5
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","CAI_2020_2021",30262,23,1315.74,1405,491.69,609,934,1543
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","CAP_2018",3714,7,530.57,336,461.07,588,256.5,844.5
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","CAP_2018_2019",49372,38,1299.26,1182.5,659.72,244,1094.75,1338.75
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","CAP_2019_2020",16768,20,838.4,984.5,450.5,664,500.75,1164.75
"CHIAPAS-DTO-7","TOTAL_SOLICITUDES","Proceso Electoral Federal",10314,27,382,234,405.77,99,188,287
"CHIAPAS-DTO-8","ENTREGA_CPV","CAI_2017_2018",33555,22,1525.23,1510.5,617.28,798.75,1233.25,2032
"CHIAPAS-DTO-8","ENTREGA_CPV","CAI_2018",15718,14,1122.71,1141,242.18,282,1024,1306
"CHIAPAS-DTO-8","ENTREGA_CPV","CAI_2019",11285,14,806.07,787.5,179.58,179.25,727.25,906.5
"CHIAPAS-DTO-8","ENTREGA_CPV","CAI_2020_2021",20286,23,882,964,326.52,527.5,652.5,1180
"CHIAPAS-DTO-8","ENTREGA_CPV","CAP_2018",1892,7,270.29,246,193.74,195,164.5,359.5
"CHIAPAS-DTO-8","ENTREGA_CPV","CAP_2018_2019",47253,38,1243.5,1142,612.95,281,1028.25,1309.25
"CHIAPAS-DTO-8","ENTREGA_CPV","CAP_2019_2020",19913,20,995.65,1270.5,537.63,950,449.25,1399.25
"CHIAPAS-DTO-8","ENTREGA_CPV","Proceso Electoral Federal",22272,27,824.89,383,972.62,954.5,168.5,1123
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAI_2017_2018",36108,22,1641.27,1599,529.49,375.25,1378,1753.25
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAI_2018",16114,14,1151,1165,169.8,227.5,1058.75,1286.25
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAI_2019",14869,14,1062.07,1062,168.75,197.25,998.75,1196
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAI_2020_2021",23493,23,1021.43,1154,504.73,511.5,715.5,1227
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAP_2018",4781,7,683,283,625.03,1024,247.5,1271.5
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAP_2018_2019",47573,38,1251.92,1111,659.12,321,996.5,1317.5
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","CAP_2019_2020",16149,20,807.45,987.5,477.9,693.25,416.25,1109.5
"CHIAPAS-DTO-8","TOTAL_SOLICITUDES","Proceso Electoral Federal",8750,27,324.07,223,345.17,141,162,303
"CHIAPAS-DTO-9","ENTREGA_CPV","CAI_2017_2018",32806,22,1491.18,1524,512.45,250.25,1451.5,1701.75
"CHIAPAS-DTO-9","ENTREGA_CPV","CAI_2018",16358,14,1168.43,1169,126.36,136.5,1120,1256.5
"CHIAPAS-DTO-9","ENTREGA_CPV","CAI_2019",12809,14,914.93,1011,295.98,272.25,835,1107.25
"CHIAPAS-DTO-9","ENTREGA_CPV","CAI_2020_2021",22853,23,993.61,1114,290.14,323,859,1182
"CHIAPAS-DTO-9","ENTREGA_CPV","CAP_2018",3759,7,537,532,401.74,464,292.5,756.5
"CHIAPAS-DTO-9","ENTREGA_CPV","CAP_2018_2019",49039,38,1290.5,1201,676.83,231,1087.25,1318.25
"CHIAPAS-DTO-9","ENTREGA_CPV","CAP_2019_2020",18303,20,915.15,1007.5,581.91,792.25,462.5,1254.75
"CHIAPAS-DTO-9","ENTREGA_CPV","Proceso Electoral Federal",24560,27,909.63,654,651.54,817,438,1255
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAI_2017_2018",36647,22,1665.77,1622,629.67,619.75,1267.5,1887.25
"CHIAPAS-DTO-9","TOTAL_SOLICITUDES","CAI_2018",16217,14,1158.36,1195,143.93,111.25,1135.75,1247
